evidence_id,value,source_file,source_sha256,selector_kind,selector_json,input_unit,output_unit,aggregation,aggregation_parameters_json,eligibility
table2.create_sandbox.none.c1.throughput_ops_s,0.61857908259073657,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:d479308c8b3bd02e2d89919bafcd824d9b289bab41d2d40ba1cb4ca3968bf6b2"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table2.create_workspace.none.c1.p50_ms,32.896549999999998,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:2f8ff3901a35439793e55958d898b63fb9010bc2f1c016a59d688b9b9157f2fd"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c1.p95_ms,35.684699999999999,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:2f8ff3901a35439793e55958d898b63fb9010bc2f1c016a59d688b9b9157f2fd"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c1.p99_ms,36.096375999999999,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:2f8ff3901a35439793e55958d898b63fb9010bc2f1c016a59d688b9b9157f2fd"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:2f8ff3901a35439793e55958d898b63fb9010bc2f1c016a59d688b9b9157f2fd"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table2.create_workspace.none.c1.throughput_ops_s,30.359842997206002,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:2f8ff3901a35439793e55958d898b63fb9010bc2f1c016a59d688b9b9157f2fd"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table2.create_workspace.none.c5.p50_ms,109.11905,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:46dca2a11cd160fb27148faef398b025082c5a87cbdf187c58b26045fac29c21"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c5.p95_ms,120.107005,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:46dca2a11cd160fb27148faef398b025082c5a87cbdf187c58b26045fac29c21"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c5.p99_ms,131.58766000000003,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:46dca2a11cd160fb27148faef398b025082c5a87cbdf187c58b26045fac29c21"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table2.create_workspace.none.c5.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:46dca2a11cd160fb27148faef398b025082c5a87cbdf187c58b26045fac29c21"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table2.create_workspace.none.c5.throughput_ops_s,45.320475342073898,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:46dca2a11cd160fb27148faef398b025082c5a87cbdf187c58b26045fac29c21"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table2.exec_command.noop.c1.p50_ms,26.71865,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table2.exec_command.noop.c1.p95_ms,28.291429999999998,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table2.exec_command.noop.c1.p99_ms,28.996465000000022,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table2.exec_command.noop.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table2.exec_command.noop.c1.throughput_ops_s,37.28339526491812,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.exec_command.fixture_read.c1.p50_ms,27.234549999999999,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:8f45e06d13b98d71a0cc703f215771e8f949417e18593feedf485b08be865cbf"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c1.p95_ms,28.937635,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:8f45e06d13b98d71a0cc703f215771e8f949417e18593feedf485b08be865cbf"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c1.p99_ms,32.665979000000071,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:8f45e06d13b98d71a0cc703f215771e8f949417e18593feedf485b08be865cbf"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:8f45e06d13b98d71a0cc703f215771e8f949417e18593feedf485b08be865cbf"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table3.exec_command.fixture_read.c1.throughput_ops_s,36.444713188023478,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:8f45e06d13b98d71a0cc703f215771e8f949417e18593feedf485b08be865cbf"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.exec_command.fixture_read.c5.p50_ms,45.440849999999998,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:45ca26b8ebec93c4c0f5d17e4e4477a5ab95d63fa24d1dfd0254a40e740e35fb"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c5.p95_ms,50.973254999999995,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:45ca26b8ebec93c4c0f5d17e4e4477a5ab95d63fa24d1dfd0254a40e740e35fb"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c5.p99_ms,56.303267000000112,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:45ca26b8ebec93c4c0f5d17e4e4477a5ab95d63fa24d1dfd0254a40e740e35fb"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.fixture_read.c5.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:45ca26b8ebec93c4c0f5d17e4e4477a5ab95d63fa24d1dfd0254a40e740e35fb"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table3.exec_command.fixture_read.c5.throughput_ops_s,108.88291336149418,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:45ca26b8ebec93c4c0f5d17e4e4477a5ab95d63fa24d1dfd0254a40e740e35fb"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.exec_command.noop.c1.p50_ms,26.71865,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c1.p95_ms,28.291429999999998,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c1.p99_ms,28.996465000000022,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table3.exec_command.noop.c1.throughput_ops_s,37.28339526491812,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:49abffc1163b5d9c8d96c8c091f2a31d46f8303444af6d2b9a78ea9a4e92b8f5"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.exec_command.noop.c5.p50_ms,45.997599999999998,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:328ad82e72b0d80ac2466f6d7b8610fb125d828ea73a4efc98c7bb317beeab6d"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c5.p95_ms,53.281615000000002,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:328ad82e72b0d80ac2466f6d7b8610fb125d828ea73a4efc98c7bb317beeab6d"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c5.p99_ms,60.09194300000015,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:328ad82e72b0d80ac2466f6d7b8610fb125d828ea73a4efc98c7bb317beeab6d"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table3.exec_command.noop.c5.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:328ad82e72b0d80ac2466f6d7b8610fb125d828ea73a4efc98c7bb317beeab6d"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table3.exec_command.noop.c5.throughput_ops_s,107.61432697082469,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:328ad82e72b0d80ac2466f6d7b8610fb125d828ea73a4efc98c7bb317beeab6d"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.file_edit.262144.c1.p50_ms,48.934550000000002,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:315abad68138d27b23e3e71b10e3d681d495613af62276fe5ec901852dfabb55"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.file_edit.262144.c1.p95_ms,53.328845000000001,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:315abad68138d27b23e3e71b10e3d681d495613af62276fe5ec901852dfabb55"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
table3.file_edit.262144.c1.p99_ms,63.096576000001647,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:315abad68138d27b23e3e71b10e3d681d495613af62276fe5ec901852dfabb55"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p99,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.99,""unit_divisor"":1000000}",frozen_final_candidate
table3.file_edit.262144.c1.samples,100,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:315abad68138d27b23e3e71b10e3d681d495613af62276fe5ec901852dfabb55"",""field"":""available_n"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",count,count,identity,{},frozen_final_candidate
table3.file_edit.262144.c1.throughput_ops_s,20.171524365907672,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:315abad68138d27b23e3e71b10e3d681d495613af62276fe5ec901852dfabb55"",""field"":""raw_points[].value"",""metric_id"":""throughput_ops_s"",""trial_scope"":""reportable_measured""}",operations_per_second,operations_per_second,arithmetic_mean,"{""denominator"":100}",frozen_final_candidate
table3.file_edit.262144.c5.p50_ms,187.35685000000001,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:ae045e86ae9a922cccd9f5820ba8a29db3155f5c9d8eb81129b6a3de48f7daab"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p50,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.5,""unit_divisor"":1000000}",frozen_final_candidate
table3.file_edit.262144.c5.p95_ms,208.00807499999999,report.json,sha256:ebea3dc4119919969370897b64ea004cbc9555e3403463bc44cba534461d2982,archive-json,"{""artifact"":""report.json"",""cell_id"":""sha256:ae045e86ae9a922cccd9f5820ba8a29db3155f5c9d8eb81129b6a3de48f7daab"",""field"":""raw_points[].value"",""metric_id"":""batch_makespan_ns"",""trial_scope"":""reportable_measured""}",nanoseconds,milliseconds,linear_quantile_p95,"{""interpolation"":""linear"",""position"":""(n-1)*q"",""probability"":0.95,""unit_divisor"":1000000}",frozen_final_candidate
